5.1,35 mm,1.4,0.2,0,setosa
4.9,30 mm,1.4,0.2,0,setosa
4.7,32 mm,1.3,0.2,0,setosa
4.6,31 mm,1.5,0.2,0,setosa
5.0,36 mm,1.4,0.2,0,setosa
5.4,39 mm,1.7,0.4,0,setosa
4.6,34 mm,1.4,0.3,0,setosa
5.0,34 mm,1.5,0.2,0,setosa
4.4,29 mm,1.4,0.2,0,setosa
4.9,31 mm,1.5,0.1,0,setosa
5.4,37 mm,1.5,0.2,0,setosa
4.8,34 mm,1.6,0.2,0,setosa
4.8,30 mm,1.4,0.1,0,setosa
4.3,30 mm,1.1,0.1,0,setosa
5.8,40 mm,1.2,0.2,0,setosa
5.7,44 mm,1.5,0.4,0,setosa
5.4,39 mm,1.3,0.4,0,setosa
5.1,35 mm,1.4,0.3,0,setosa
5.7,38 mm,1.7,0.3,0,setosa
5.1,38 mm,1.5,0.3,0,setosa
5.4,34 mm,1.7,0.2,0,setosa
5.1,37 mm,1.5,0.4,0,setosa
4.6,36 mm,1.0,0.2,0,setosa
5.1,33 mm,1.7,0.5,0,setosa
4.8,34 mm,1.9,0.2,0,setosa
5.0,30 mm,1.6,0.2,0,setosa
5.0,34 mm,1.6,0.4,0,setosa
5.2,35 mm,1.5,0.2,0,setosa
5.2,34 mm,1.4,0.2,0,setosa
4.7,32 mm,1.6,0.2,0,setosa
4.8,31 mm,1.6,0.2,0,setosa
5.4,34 mm,1.5,0.4,0,setosa
5.2,41 mm,1.5,0.1,0,setosa
5.5,42 mm,1.4,0.2,0,setosa
4.9,31 mm,1.5,0.2,0,setosa
5.0,32 mm,1.2,0.2,0,setosa
5.5,35 mm,1.3,0.2,0,setosa
4.9,36 mm,1.4,0.1,0,setosa
4.4,30 mm,1.3,0.2,0,setosa
5.1,34 mm,1.5,0.2,0,setosa
5.0,35 mm,1.3,0.3,0,setosa
4.5,23 mm,1.3,0.3,0,setosa
4.4,32 mm,1.3,0.2,0,setosa
5.0,35 mm,1.6,0.6,0,setosa
5.1,38 mm,1.9,0.4,0,setosa
4.8,30 mm,1.4,0.3,0,setosa
5.1,38 mm,1.6,0.2,0,setosa
4.6,32 mm,1.4,0.2,0,setsoa
5.3,37 mm,1.5,0.2,0,setosa
5.0,33 mm,1.4,0.2,0,setosa
7.0,32 mm,4.7,1.4,1,versicolor
6.4,32 mm,4.5,1.5,1,versicolor
6.9,31 mm,4.9,1.5,1,versicolor
5.5,23 mm,4.0,1.3,1,versicolor
6.5,28 mm,4.6,1.5,1,versicolor
5.7,28 mm,4.5,1.3,1,versicolor
6.3,33 mm,4.7,1.6,1,versicolor
4.9,24 mm,3.3,1.0,1,versicolor
6.6,29 mm,4.6,1.3,1,versicolor
5.5,23 mm,4.0,1.3,1,versicolor
5.2,27 mm,3.9,1.4,1,versicolor
5.0,20 mm,3.5,1.0,1,versicolor
5.9,30 mm,4.2,1.5,1,versicolor
6.0,22 mm,4.0,1.0,1,versicolor
6.1,29 mm,4.7,1.4,1,versicolor
5.6,29 mm,3.6,1.3,1,versicolor
6.7,31 mm,4.4,1.4,1,versicolor
5.6,30 mm,4.5,1.5,1,versicolor
5.8,27 mm,4.1,1.0,1,versicolor
6.2,22 mm,4.5,1.5,1,versicolor
5.6,25 mm,3.9,1.1,1,versicolor
5.9,32 mm,4.8,1.8,1,versicolor
6.1,28 mm,4.0,1.3,1,versicolor
6.3,25 mm,4.9,1.5,1,versicolor
6.1,28 mm,4.7,1.2,1,versicolor
6.4,29 mm,4.3,1.3,1,versicolor
6.6,30 mm,4.4,1.4,1,versicolor
6.8,28 mm,4.8,1.4,1,versicolor
6.7,30 mm,5.0,1.7,1,versicolor
6.0,29 mm,4.5,1.5,1,versicolor
5.7,26 mm,3.5,1.0,1,versicolor
5.5,24 mm,3.8,1.1,1,versicolor
5.5,24 mm,3.7,1.0,1,versicolor
5.8,27 mm,3.9,1.2,1,versicolor
6.0,27 mm,5.1,1.6,1,versicolor
5.4,30 mm,4.5,1.5,1,versicolor
6.0,34 mm,4.5,1.6,1,versicolor
6.7,31 mm,4.7,1.5,1,versicolor
6.3,23 mm,4.4,1.3,1,versicolor
5.6,30 mm,4.1,1.3,1,versicolor
5.5,25 mm,4.0,1.3,1,versicolor
5.5,26 mm,4.4,1.2,1,versicolor
6.1,30 mm,4.6,1.4,1,versicolor
5.8,26 mm,4.0,1.2,1,versicolor
5.0,23 mm,3.3,1.0,1,versicolor
5.6,27 mm,4.2,1.3,1,versicolor
5.7,30 mm,4.2,1.2,1,versicolor
5.7,29 mm,4.2,1.3,1,versicolor
6.2,29 mm,4.3,1.3,1,versicolor
5.1,25 mm,3.0,1.1,1,versicolor
5.7,28 mm,4.1,1.3,1,versicolor
6.3,33 mm,6.0,2.5,2,virginica
5.8,27 mm,5.1,1.9,2,virginica
7.1,30 mm,5.9,2.1,2,virginica
6.3,29 mm,5.6,1.8,2,virginica
6.5,30 mm,5.8,2.2,2,virginica
7.6,30 mm,6.6,2.1,2,virginica
4.9,25 mm,4.5,1.7,2,virginica
7.3,29 mm,6.3,1.8,2,virginica
6.7,25 mm,5.8,1.8,2,virginica
7.2,36 mm,6.1,2.5,2,virginica
6.5,32 mm,5.1,2.0,2,virginica
6.4,27 mm,5.3,1.9,2,virginica
6.8,30 mm,5.5,2.1,2,virginica
5.7,25 mm,5.0,2.0,2,virginica
5.8,28 mm,5.1,2.4,2,virginica
6.4,32 mm,5.3,2.3,2,virginica
6.5,30 mm,5.5,1.8,2,virginica
7.7,38 mm,6.7,2.2,2,virginica
7.7,26 mm,6.9,2.3,2,virginica
6.0,22 mm,5.0,1.5,2,virginica
6.9,32 mm,5.7,2.3,2,virginica
5.6,28 mm,4.9,2.0,2,virginica
7.7,28 mm,6.7,2.0,2,virginica
6.3,27 mm,4.9,1.8,2,virginica
6.7,33 mm,5.7,2.1,2,virginica
7.2,32 mm,6.0,1.8,2,virginica
6.2,28 mm,4.8,1.8,2,virginica
6.1,30 mm,4.9,1.8,2,virginica
6.4,28 mm,5.6,,2,virginica
7.2,30 mm,5.8,1.6,2,virginica
7.4,28 mm,6.1,1.9,2,virginica
7.9,38 mm,6.4,2.0,2,virginica
6.4,28 mm,5.6,2.2,2,virginica
6.3,28 mm,5.1,1.5,2,virginica
6.1,26 mm,5.6,1.4,2,virginica
7.7,30 mm,6.1,2.3,2,virginica
6.3,34 mm,5.6,2.4,2,virginica
6.4,31 mm,5.5,1.8,2,virginica
6.0,30 mm,103.0,1.8,2,virginica
6.9,31 mm,5.4,2.1,2,virginica
6.7,31 mm,5.6,2.4,2,virginica
6.9,31 mm,5.1,2.3,2,virginica
5.8,27 mm,5.1,1.9,2,virginica
6.8,32 mm,5.9,2.3,2,virginica
6.7,33 mm,5.7,2.5,2,virginica
6.7,30 mm,5.2,2.3,2,virginica
6.3,25 mm,5.0,1.9,2,virginica
6.5,30 mm,5.2,2.0,2,virginica
6.2,34 mm,5.4,2.3,2,virginica
5.9,30 mm,5.1,1.8,2,virginica
